day_index,hour,node_id,channel,rssi_dbm,occupied,sensing_confidence,split,dow
0,0,NODE1,CH21,-95.31,0,0.689,train,0
0,0,NODE2,CH21,-100.35,0,0.45,train,0
0,0,NODE3,CH21,-101.22,0,0.544,train,0
0,0,NODE4,CH21,-101.32,0,0.74,train,0
0,0,NODE5,CH21,-99.46,0,0.417,train,0
0,0,NODE6,CH21,-99.67,0,0.445,train,0
0,0,NODE7,CH21,-97.17,0,0.716,train,0
0,0,NODE8,CH21,-95.98,0,0.783,train,0
0,0,NODE1,CH22,-100.64,0,0.652,train,0
0,0,NODE2,CH22,-95.85,0,0.409,train,0
0,0,NODE3,CH22,-97.42,0,0.436,train,0
0,0,NODE4,CH22,-96.89,0,0.74,train,0
0,0,NODE5,CH22,-101.29,0,0.376,train,0
0,0,NODE6,CH22,-96.19,0,0.44,train,0
0,0,NODE7,CH22,-93.87,0,0.719,train,0
0,0,NODE8,CH22,-97.23,0,0.792,train,0
0,0,NODE1,CH23,-95.85,0,0.659,train,0
0,0,NODE2,CH23,-101.89,0,0.362,train,0
0,0,NODE3,CH23,-98.6,0,0.462,train,0
0,0,NODE4,CH23,-99.29,0,0.794,train,0
0,0,NODE5,CH23,-98.96,0,0.0,train,0
0,0,NODE6,CH23,-98.06,0,0.405,train,0
0,0,NODE7,CH23,-101.91,0,0.71,train,0
0,0,NODE8,CH23,-97.43,0,0.771,train,0
0,0,NODE1,CH24,-96.27,0,0.7,train,0
0,0,NODE2,CH24,-92.8,0,0.372,train,0
0,0,NODE3,CH24,-97.47,0,0.477,train,0
0,0,NODE4,CH24,-95.98,0,0.765,train,0
0,0,NODE5,CH24,-92.37,0,0.408,train,0
0,0,NODE6,CH24,-101.07,0,0.42,train,0
0,0,NODE7,CH24,-97.99,0,0.0,train,0
0,0,NODE8,CH24,-95.15,0,0.806,train,0
0,0,NODE1,CH25,-96.19,0,0.658,train,0
0,0,NODE2,CH25,-95.62,0,0.447,train,0
0,0,NODE3,CH25,-101.91,0,0.529,train,0
0,0,NODE4,CH25,-92.0,0,0.721,train,0
0,0,NODE5,CH25,-99.52,0,0.377,train,0
0,0,NODE6,CH25,-98.73,0,0.393,train,0
0,0,NODE7,CH25,-93.16,0,0.693,train,0
0,0,NODE8,CH25,-95.68,0,0.773,train,0
0,0,NODE1,CH26,-99.5,0,0.726,train,0
0,0,NODE2,CH26,-99.64,0,0.42,train,0
0,0,NODE3,CH26,-98.21,0,0.551,train,0
0,0,NODE4,CH26,-97.7,0,0.856,train,0
0,0,NODE5,CH26,-99.72,0,0.415,train,0
0,0,NODE6,CH26,-96.72,0,0.436,train,0
0,0,NODE7,CH26,-90.76,0,0.681,train,0
0,0,NODE8,CH26,-91.69,0,0.729,train,0
0,0,NODE1,CH27,-41.09,1,0.705,train,0
0,0,NODE2,CH27,-48.8,1,0.395,train,0
0,0,NODE3,CH27,-44.95,1,0.521,train,0
0,0,NODE4,CH27,-40.12,1,0.771,train,0
0,0,NODE5,CH27,-50.12,1,0.401,train,0
0,0,NODE6,CH27,-49.61,1,0.415,train,0
0,0,NODE7,CH27,-40.07,1,0.715,train,0
0,0,NODE8,CH27,-38.44,1,0.795,train,0
0,0,NODE1,CH28,-93.41,0,0.652,train,0
0,0,NODE2,CH28,-99.63,0,0.414,train,0
0,0,NODE3,CH28,-99.52,0,0.536,train,0
0,0,NODE4,CH28,-94.21,0,0.736,train,0
0,0,NODE5,CH28,-96.04,0,0.374,train,0
0,0,NODE6,CH28,-97.57,0,0.41,train,0
0,0,NODE7,CH28,-95.54,0,0.75,train,0
0,0,NODE8,CH28,-92.04,0,0.782,train,0
0,0,NODE1,CH29,-94.93,0,0.661,train,0
0,0,NODE2,CH29,-94.42,0,0.422,train,0
0,0,NODE3,CH29,-92.32,0,0.492,train,0
0,0,NODE4,CH29,-95.78,0,0.801,train,0
0,0,NODE5,CH29,-98.83,0,0.439,train,0
0,0,NODE6,CH29,-97.67,0,0.35,train,0
0,0,NODE7,CH29,-97.38,0,0.723,train,0
0,0,NODE8,CH29,-93.51,0,0.765,train,0
0,0,NODE1,CH30,-98.36,0,0.717,train,0
0,0,NODE2,CH30,-94.41,0,0.0,train,0
0,0,NODE3,CH30,-99.44,0,0.522,train,0
0,0,NODE4,CH30,-93.28,0,0.769,train,0
0,0,NODE5,CH30,-101.16,0,0.382,train,0
0,0,NODE6,CH30,-101.87,0,0.342,train,0
0,0,NODE7,CH30,-90.35,0,0.737,train,0
0,0,NODE8,CH30,-90.73,0,0.795,train,0
0,0,NODE1,CH31,-98.69,0,0.684,train,0
0,0,NODE2,CH31,-95.38,0,0.395,train,0
0,0,NODE3,CH31,-97.4,0,0.53,train,0
0,0,NODE4,CH31,-93.91,0,0.767,train,0
0,0,NODE5,CH31,-102.64,0,0.363,train,0
0,0,NODE6,CH31,-97.26,0,0.4,train,0
0,0,NODE7,CH31,-98.02,0,0.709,train,0
0,0,NODE8,CH31,-97.34,0,0.808,train,0
0,0,NODE1,CH32,-95.27,0,0.684,train,0
0,0,NODE2,CH32,-106.1,0,0.41,train,0
0,0,NODE3,CH32,-95.36,0,0.496,train,0
0,0,NODE4,CH32,-93.47,0,0.79,train,0
0,0,NODE5,CH32,-97.18,0,0.386,train,0
0,0,NODE6,CH32,-100.46,0,0.471,train,0
0,0,NODE7,CH32,-92.84,0,0.743,train,0
0,0,NODE8,CH32,-99.08,0,0.84,train,0
0,0,NODE1,CH33,-43.9,1,0.653,train,0
0,0,NODE2,CH33,-47.57,1,0.354,train,0
0,0,NODE3,CH33,-44.92,1,0.511,train,0
0,0,NODE4,CH33,-39.82,1,0.768,train,0
0,0,NODE5,CH33,-48.89,1,0.429,train,0
0,0,NODE6,CH33,-49.17,1,0.415,train,0
0,0,NODE7,CH33,-40.31,1,0.711,train,0
0,0,NODE8,CH33,-40.91,1,0.814,train,0
0,0,NODE1,CH34,-98.12,0,0.635,train,0
0,0,NODE2,CH34,-97.1,0,0.365,train,0
0,0,NODE3,CH34,-93.52,0,0.505,train,0
0,0,NODE4,CH34,-98.2,0,0.765,train,0
0,0,NODE5,CH34,-96.41,0,0.461,train,0
0,0,NODE6,CH34,-93.97,0,0.401,train,0
0,0,NODE7,CH34,-93.68,0,0.0,train,0
0,0,NODE8,CH34,-99.21,0,0.758,train,0
0,0,NODE1,CH35,-96.4,0,0.655,train,0
0,0,NODE2,CH35,-94.79,0,0.454,train,0
0,0,NODE3,CH35,-97.25,0,0.548,train,0
0,0,NODE4,CH35,-94.57,0,0.728,train,0
0,0,NODE5,CH35,-93.55,0,0.416,train,0
0,0,NODE6,CH35,-99.53,0,0.394,train,0
0,0,NODE7,CH35,-98.54,0,0.735,train,0
0,0,NODE8,CH35,-94.1,0,0.803,train,0
0,0,NODE1,CH36,-94.73,0,0.746,train,0
0,0,NODE2,CH36,-95.51,0,0.423,train,0
0,0,NODE3,CH36,-100.69,0,0.492,train,0
0,0,NODE4,CH36,-104.96,0,0.782,train,0
0,0,NODE5,CH36,-97.2,0,0.37,train,0
0,0,NODE6,CH36,-98.65,0,0.427,train,0
0,0,NODE7,CH36,-100.78,0,0.671,train,0
0,0,NODE8,CH36,-96.79,0,0.769,train,0
0,0,NODE1,CH37,-95.8,0,0.654,train,0
0,0,NODE2,CH37,-98.08,0,0.434,train,0
0,0,NODE3,CH37,-94.32,0,0.461,train,0
0,0,NODE4,CH37,-92.69,0,0.776,train,0
0,0,NODE5,CH37,-103.57,0,0.411,train,0
0,0,NODE6,CH37,-99.14,0,0.432,train,0
0,0,NODE7,CH37,-91.47,0,0.715,train,0
0,0,NODE8,CH37,-92.37,0,0.774,train,0
0,0,NODE1,CH38,-104.07,0,0.703,train,0
0,0,NODE2,CH38,-100.51,0,0.439,train,0
0,0,NODE3,CH38,-97.38,0,0.477,train,0
0,0,NODE4,CH38,-97.06,0,0.774,train,0
0,0,NODE5,CH38,-93.35,0,0.409,train,0
0,0,NODE6,CH38,-101.32,0,0.439,train,0
0,0,NODE7,CH38,-98.67,0,0.688,train,0
0,0,NODE8,CH38,-96.29,0,0.822,train,0
0,0,NODE1,CH39,-96.24,0,0.708,train,0
0,0,NODE2,CH39,-97.25,0,0.392,train,0
0,0,NODE3,CH39,-99.76,0,0.481,train,0
0,0,NODE4,CH39,-99.5,0,0.773,train,0
0,0,NODE5,CH39,-95.38,0,0.355,train,0
0,0,NODE6,CH39,-97.36,0,0.494,train,0
0,0,NODE7,CH39,-95.42,0,0.656,train,0
0,0,NODE8,CH39,-98.28,0,0.795,train,0
0,0,NODE1,CH40,-92.75,0,0.699,train,0
